word;OLD20_m;OLD20_sd;OS;OUP;Language
varenne;3,1;,447213595;0;5;FRA
vitreux;3,25;,550119604;0;5;FRA
châssis;3,75;,444261658;0;4;FRA
civière;2,65;,587142949;1;3;FRA
conteur;1,95;,223606798;1;6;FRA
cuistot;3,5;,606976979;0;5;FRA
errance;3,3;,571240571;0;2;FRA
gobelet;3,6;,50262469;0;3;FRA
raviver;2,65;,587142949;1;5;FRA
soutenu;3;,72547625;0;5;FRA
avancée;3,4;,598243042;0;6;FRA
boiteux;2,7;,470162346;0;4;FRA
chômeur;3,2;,615587011;0;5;FRA
déjouer;2,45;,686332741;1;3;FRA
épineux;3,3;,571240571;0;5;FRA
frichti;3,95;,223606798;0;4;FRA
mutiler;2,95;,223606798;0;5;FRA
néfaste;3,65;,587142949;0;3;FRA
opulent;3,7;,470162346;0;3;FRA
ordonné;4;0;0;3;FRA
oxygène;4,45;,759154655;0;2;FRA
parloir;2,95;,394034463;0;5;FRA
peigner;2,6;,50262469;0;4;FRA
recréer;2,85;,366347549;0;4;FRA
vautour;3,25;,638666374;0;5;FRA
adverse;3,45;,686332741;0;5;FRA
aigreur;2,85;,366347549;0;3;FRA
athlète;3,95;,223606798;0;3;FRA
avorter;2,65;,489360485;0;3;FRA
ceindre;2,5;,945905303;1;3;FRA
charrue;3,2;,523148364;0;5;FRA
dixième;3,45;,759154655;1;3;FRA
emblème;3,85;,366347549;0;4;FRA
humilié;3,9;,307793506;0;3;FRA
nuptial;3,85;,366347549;0;3;FRA
oseille;2,8;,523148364;1;3;FRA
poterie;3,2;,767771896;1;4;FRA
poudrer;2,75;,444261658;0;4;FRA
saturer;2,85;,366347549;0;3;FRA
teindre;2,4;,88257995;1;5;FRA
torride;2,9;,718184846;0;5;FRA
bouilli;3,05;,998683344;1;7;FRA
campeur;2,8;,410391341;0;5;FRA
châtain;3,6;,598243042;0;5;FRA
dormant;2,7;,470162346;0;5;FRA
encrier;2,9;,307793506;0;4;FRA
enfermé;3,6;,598243042;0;4;FRA
éventer;2,9;,307793506;0;6;FRA
exaucer;2,8;,410391341;0;4;FRA
exulter;2,8;,523148364;1;3;FRA
gencive;3,75;,444261658;0;3;FRA
glycine;3,7;,470162346;0;3;FRA
huileux;3,25;,638666374;0;3;FRA
insérer;3;0;0;4;FRA
liqueur;2,8;,410391341;0;5;FRA
martial;3,15;,587142949;0;5;FRA
mercier;2,55;,510417786;0;3;FRA
microbe;3,95;,223606798;0;3;FRA
militer;2,6;,50262469;0;4;FRA
murette;2,6;,680557047;2;4;FRA
nouille;2,3;,864504726;1;4;FRA
oeuvrer;2,85;,366347549;0;3;FRA
pommeau;2,85;,366347549;0;5;FRA
pompeux;3,4;,50262469;0;5;FRA
torturé;3,1;,788068926;1;7;FRA
agaçant;3,65;,489360485;0;3;FRA
clébard;3,65;,489360485;0;4;FRA
disposé;3,75;,444261658;0;5;FRA
effigie;3,9;,307793506;0;4;FRA
éprouvé;3,8;,523148364;0;4;FRA
extrait;3,4;,753937035;0;5;FRA
métèque;3,55;,510417786;0;4;FRA
moduler;2,65;,587142949;1;4;FRA
ouragan;3,8;,410391341;0;3;FRA
reconnu;3,8;,523148364;0;5;FRA
remiser;2,55;,510417786;0;4;FRA
associé;4;,72547625;0;5;FRA
galaxie;3,25;,638666374;0;4;FRA
gravats;3,6;,680557047;0;5;FRA
moufter;2,7;,470162346;0;5;FRA
neigeux;3,25;,550119604;0;3;FRA
orageux;3,5;,606976979;0;4;FRA
piloter;2,4;,680557047;2;4;FRA
proprio;3,8;,410391341;0;5;FRA
reliure;2,85;,366347549;0;5;FRA
tornade;3,15;,74515982;1;4;FRA
altesse;3,05;,604805319;0;4;FRA
ambiant;3,6;,598243042;0;3;FRA
assorti;3,55;,604805319;0;5;FRA
boudeur;2,55;,510417786;0;5;FRA
bouleau;2,8;,523148364;1;4;FRA
conduit;3,1;,552506251;0;4;FRA
excepté;4;0;0;4;FRA
foireux;2,9;,307793506;0;3;FRA
galopin;3,55;,686332741;0;6;FRA
lacérer;2,95;,223606798;0;3;FRA
moignon;3,25;,716350399;0;4;FRA
monocle;3,35;,489360485;0;4;FRA
orifice;3,65;,670820393;0;4;FRA
pimpant;3,05;,510417786;0;3;FRA
reluire;2,95;,604805319;0;4;FRA
répandu;3,7;,470162346;0;5;FRA
retaper;2,85;,366347549;0;4;FRA
stature;2,95;,223606798;0;5;FRA
batteur;2,75;,444261658;0;5;FRA
brocart;3,7;,571240571;0;5;FRA
brochet;2,8;,523148364;1;5;FRA
caniche;2,8;,410391341;0;4;FRA
cloquer;2,25;,786397516;3;4;FRA
éboulis;3,8;,410391341;0;5;FRA
lampion;3,6;,50262469;0;4;FRA
livreur;3;,458831468;0;3;FRA
préposé;3,6;,50262469;0;4;FRA
romance;3,2;,410391341;0;4;FRA
speaker;3,85;,366347549;0;4;FRA
tréteau;3,3;,571240571;0;3;FRA
tronçon;3,7;,656946685;0;5;FRA
boudoir;2,65;,489360485;0;5;FRA
déplacé;3,55;,604805319;0;5;FRA
éperdre;3,45;,604805319;0;3;FRA
fournil;3,15;,812727701;1;7;FRA
gazelle;2,95;,686332741;1;3;FRA
harnais;3,55;,510417786;0;4;FRA
intimer;2,75;,444261658;0;4;FRA
losange;3,3;,801314709;1;3;FRA
penseur;2,65;,489360485;0;5;FRA
rejeton;3,8;,523148364;0;6;FRA
affront;3,9;,307793506;0;5;FRA
bicoque;3,4;,598243042;0;3;FRA
bivouac;4,4;,598243042;0;3;FRA
compère;2,8;,523148364;1;5;FRA
cordage;2,75;,550119604;1;5;FRA
couiner;2,75;,444261658;0;5;FRA
décimer;2,35;,587142949;1;5;FRA
droguer;2,75;,550119604;1;3;FRA
échéant;3,75;,550119604;0;4;FRA
épauler;2,85;,366347549;0;4;FRA
exhumer;2,8;,410391341;0;4;FRA
jongler;2,75;,444261658;0;4;FRA
truffer;2,8;,410391341;0;4;FRA
vantail;3,85;,366347549;0;4;FRA
vengeur;2,55;,604805319;1;4;FRA
affable;3,15;,670820393;0;5;FRA
bafouer;2,95;,223606798;0;3;FRA
bidoche;3,25;,716350399;0;3;FRA
cassure;2,7;,470162346;0;5;FRA
commère;2,75;,550119604;1;5;FRA
croûton;3,7;,571240571;0;4;FRA
donnant;2,7;,571240571;1;5;FRA
écusson;3,2;,615587011;0;4;FRA
éduquer;2,9;,307793506;0;3;FRA
emporté;3,65;,587142949;0;4;FRA
étoiler;2,9;,307793506;0;4;FRA
étriqué;3,95;,223606798;0;4;FRA
friture;2,85;,366347549;0;4;FRA
haillon;2,75;,638666374;1;4;FRA
lutteur;2,8;,410391341;0;3;FRA
poulain;2,95;,394034463;0;4;FRA
recueil;3,75;,550119604;0;5;FRA
référer;2,7;,470162346;0;4;FRA
rizière;2,65;,587142949;1;3;FRA
samovar;3,95;,223606798;0;3;FRA
sanguin;3,7;,571240571;0;5;FRA
sultane;3,5;,606976979;0;3;FRA
terreau;2,6;,50262469;0;6;FRA
trapèze;3,7;,470162346;0;4;FRA
western;3,9;,307793506;0;1;FRA
absorbé;3,85;,366347549;0;4;FRA
affamer;2,95;,887041208;1;5;FRA
brigand;3,65;,587142949;0;6;FRA
calèche;3,15;,74515982;0;4;FRA
calepin;3,4;,680557047;0;5;FRA
citadin;3,75;,444261658;0;4;FRA
console;2,9;,447213595;0;5;FRA
crachat;3,65;,670820393;0;6;FRA
démener;2,6;,50262469;0;6;FRA
dépassé;3,35;,587142949;0;4;FRA
écoeuré;3,75;,444261658;0;4;FRA
embryon;4,25;,444261658;0;4;FRA
glacier;2,8;,410391341;0;6;FRA
infamie;3,75;,444261658;0;4;FRA
languir;3,25;,716350399;0;5;FRA
mamelle;2,7;,801314709;1;6;FRA
matrone;3,5;,512989176;0;4;FRA
méandre;3,05;,394034463;0;3;FRA
nénette;2,8;,410391341;0;3;FRA
receler;2,6;,598243042;1;5;FRA
réviser;2,4;,598243042;1;4;FRA
tatouer;2,8;,410391341;0;3;FRA
tranché;3,45;,887041208;1;7;FRA
affûter;2,9;,640723276;0;4;FRA
attiser;2,75;,550119604;1;5;FRA
cellier;2,65;,587142949;1;5;FRA
combiné;3,15;,74515982;1;7;FRA
corolle;2,9;,307793506;0;4;FRA
déformé;3,25;,786397516;0;5;FRA
déguisé;3,65;,489360485;0;4;FRA
ébréché;4,1;,640723276;0;4;FRA
emprise;3,45;,686332741;0;5;FRA
équipée;3,9;,447213595;0;6;FRA
factice;2,9;,307793506;0;6;FRA
flipper;3,05;,510417786;0;4;FRA
franger;2,6;,598243042;1;6;FRA
navette;2,65;,489360485;0;4;FRA
oraison;3,4;,598243042;0;4;FRA
poirier;2,75;,444261658;0;5;FRA
pruneau;3;,561951487;0;4;FRA
réputer;2,45;,604805319;1;4;FRA
rudesse;3,35;,489360485;0;3;FRA
servile;3,1;,718184846;1;6;FRA
blinder;3;0;0;3;FRA
clavier;2,6;,598243042;1;4;FRA
désigné;3,45;,759154655;1;5;FRA
dévider;2,05;,394034463;1;4;FRA
deviser;2,6;,680557047;2;5;FRA
écorché;3,9;,307793506;0;4;FRA
enfoncé;3,5;,76088591;0;5;FRA
enterré;3,35;,670820393;0;5;FRA
étourdi;3,85;,366347549;0;5;FRA
figuier;2,95;,604805319;1;5;FRA
lisible;3,3;,97872097;1;5;FRA
minutie;3,5;,606976979;0;4;FRA
parader;2,85;,366347549;0;6;FRA
picorer;2,7;,571240571;1;5;FRA
poussif;3,1;,852241626;1;7;FRA
venelle;2,95;,604805319;0;4;FRA
ameuter;2,65;,587142949;1;3;FRA
cambrer;2,85;,366347549;0;4;FRA
censure;2,9;,307793506;0;4;FRA
cézigue;3,7;,732695097;1;3;FRA
culasse;3,1;,640723276;0;4;FRA
cyclone;3,8;,410391341;0;3;FRA
dancing;3,7;,470162346;0;4;FRA
déboire;2,8;,410391341;0;4;FRA
douille;2,3;,864504726;1;4;FRA
emmerde;3,85;,366347549;0;5;FRA
inclure;3,4;,680557047;0;5;FRA
macabre;2,95;,223606798;0;5;FRA
mélopée;3,8;,523148364;0;5;FRA
modérer;2,8;,410391341;0;4;FRA
mousser;2,55;,686332741;1;6;FRA
palabre;2,9;,552506251;0;4;FRA
patelin;3,6;,50262469;0;4;FRA
pelisse;3,35;,670820393;0;4;FRA
peureux;3,05;,686332741;1;4;FRA
poivrot;3,9;,307793506;0;4;FRA
rainure;2,95;,223606798;0;4;FRA
saillir;2,35;,812727701;3;7;FRA
trivial;3,8;,410391341;0;4;FRA
anémone;3,9;,307793506;0;3;FRA
annexer;3,55;,604805319;0;4;FRA
bigoudi;4,15;,489360485;0;4;FRA
cajoler;2,85;,366347549;0;3;FRA
constat;3;,458831468;0;5;FRA
crapule;3,2;,523148364;0;5;FRA
déloger;2,45;,510417786;0;4;FRA
fortuné;3,4;,940324692;1;7;FRA
hussard;3,9;,307793506;0;3;FRA
quatuor;3,95;,223606798;0;4;FRA
raciste;3,3;,732695097;1;6;FRA
risible;3,2;,894427191;1;4;FRA
tam-tam;4,4;,598243042;0;4;FRA
truquer;2,5;,688247202;1;4;FRA
adoptif;3,65;,587142949;0;6;FRA
affiner;2,75;,444261658;0;5;FRA
agilité;3,55;,759154655;0;3;FRA
caramel;3,55;,510417786;0;4;FRA
carnage;2,7;,470162346;0;4;FRA
chardon;3,05;,759154655;1;5;FRA
cuisson;2,55;,825577947;2;5;FRA
découpé;3,45;,510417786;0;5;FRA
élevage;3,85;,366347549;0;3;FRA
émilien;3,35;,489360485;0;4;FRA
fortuit;3,25;,716350399;0;6;FRA
hold-up;4,75;,444261658;0;3;FRA
orgasme;4;0;0;4;FRA
peloter;2,75;,550119604;1;6;FRA
pillage;3,2;,951453182;1;4;FRA
suraigu;4;0;0;4;FRA
tournoi;3,4;,680557047;0;6;FRA
trognon;3,6;,598243042;0;4;FRA
valoche;2,9;,718184846;1;4;FRA
vanille;2,9;,307793506;0;4;FRA
compote;2,7;,470162346;0;6;FRA
échoppe;3,65;,587142949;0;5;FRA
émigrer;3;0;0;4;FRA
engrais;3,7;,656946685;0;4;FRA
flambée;3,8;,523148364;0;6;FRA
fleurer;2,6;,680557047;2;6;FRA
gigoter;2,65;,587142949;1;2;FRA
insigne;3,25;,786397516;1;4;FRA
moutard;3,1;,640723276;0;4;FRA
myriade;3,5;,606976979;0;3;FRA
osselet;3,85;,366347549;0;3;FRA
platine;2,75;,550119604;1;5;FRA
railler;2,15;,670820393;1;4;FRA
repaire;2,8;,523148364;1;4;FRA
sailler;1,9;,552506251;2;6;FRA
sauveur;2,85;,366347549;0;5;FRA
terrine;2,75;,444261658;0;6;FRA
avarice;3,85;,366347549;0;4;FRA
blaguer;2,7;,470162346;0;4;FRA
camping;3,4;,50262469;0;5;FRA
casseur;2,5;,606976979;1;5;FRA
concept;2,8;,523148364;1;6;FRA
crémeux;3,5;,606976979;0;4;FRA
dompter;2,75;,550119604;1;4;FRA
faiseur;2,7;,470162346;0;4;FRA
frusque;2,95;,944513241;2;3;FRA
grisant;3,05;,394034463;0;4;FRA
hameçon;3,7;,656946685;0;3;FRA
madrier;2,9;,307793506;0;3;FRA
nervure;2,9;,307793506;0;5;FRA
occulte;3,7;,470162346;0;5;FRA
offense;3,75;,550119604;0;2;FRA
optique;2,9;,307793506;0;3;FRA
orfèvre;3,95;,223606798;0;3;FRA
pérorer;2,8;,410391341;0;4;FRA
potager;2,95;,223606798;0;4;FRA
remuant;2,95;,510417786;0;4;FRA
sadique;2,85;,366347549;0;3;FRA
soulevé;3,5;,512989176;0;5;FRA
vampire;3,45;,510417786;0;3;FRA
volière;2,85;,366347549;0;4;FRA
alvéole;3,9;,447213595;0;3;FRA
brassée;3,35;,587142949;0;6;FRA
calciné;3,5;,512989176;0;4;FRA
capsule;3,35;,74515982;0;4;FRA
clément;3,25;,850696309;1;4;FRA
débiner;2,3;,571240571;1;5;FRA
dégaine;3,2;,767771896;0;5;FRA
ébattre;3,45;,825577947;1;4;FRA
éjecter;3,05;,394034463;0;2;FRA
embûche;3,9;,307793506;0;4;FRA
envolée;3,75;,550119604;0;6;FRA
exécrer;2,95;,223606798;0;3;FRA
facette;2,75;,444261658;0;4;FRA
fertile;2,9;,307793506;0;4;FRA
filière;2,65;,489360485;0;4;FRA
griotte;3,25;,550119604;0;4;FRA
maillon;2,55;,686332741;2;7;FRA
massage;2,7;,656946685;2;4;FRA
ouvrant;2,8;,615587011;0;6;FRA
prenant;2,85;,366347549;0;5;FRA
supposé;3,75;,550119604;0;6;FRA
tentant;2,7;,571240571;1;5;FRA
tringle;3,25;,638666374;0;4;FRA
vétuste;3,55;,510417786;0;3;FRA
vouivre;3,05;,394034463;0;4;FRA
vriller;2,3;,732695097;2;2;FRA
albâtre;3,65;,587142949;0;3;FRA
attardé;3,65;,587142949;0;5;FRA
branque;2,6;,598243042;1;5;FRA
chaland;3,7;,470162346;0;5;FRA
concile;2,9;,307793506;0;5;FRA
écluser;2,6;,50262469;0;4;FRA
effréné;4,05;,686332741;0;5;FRA
frégate;3,65;,489360485;0;3;FRA
inanimé;3,75;,550119604;0;3;FRA
indemne;3,35;,670820393;0;4;FRA
loyauté;4,1;,552506251;0;3;FRA
lyrisme;3,65;,670820393;0;5;FRA
pluriel;3,8;,410391341;0;4;FRA
rentier;2,4;,753937035;2;5;FRA
sablier;2,55;,604805319;1;4;FRA
torsion;2,95;,604805319;0;5;FRA
vermeil;3,75;,444261658;0;5;FRA
apposer;2,5;,606976979;1;4;FRA
bestial;3,5;,76088591;1;7;FRA
bibiche;3,45;,604805319;0;4;FRA
bleuter;2,65;,489360485;0;4;FRA
bouffir;2,7;,571240571;1;6;FRA
buvette;2,8;,695852374;1;3;FRA
caisson;2,6;,598243042;1;4;FRA
dallage;2,85;,366347549;0;3;FRA
décéder;2,55;,604805319;1;4;FRA
déchoir;3,1;,447213595;0;5;FRA
déserté;3,2;,695852374;0;4;FRA
épargne;3,75;,444261658;0;4;FRA
flirter;2,75;,444261658;0;4;FRA
inceste;2,95;,394034463;0;4;FRA
loubard;3,55;,686332741;0;4;FRA
luzerne;3,45;,604805319;0;3;FRA
mangeur;2,6;,50262469;0;4;FRA
nacelle;2,9;,552506251;0;3;FRA
pommade;3,35;,74515982;0;5;FRA
poussin;2,55;,686332741;2;7;FRA
récuser;2,4;,598243042;1;5;FRA
revoilà;4;0;0;4;FRA
rougeur;2,55;,604805319;1;4;FRA
adjurer;2,85;,366347549;0;4;FRA
bandage;3,05;,510417786;0;5;FRA
baratin;3,55;,604805319;0;5;FRA
beurrer;2,65;,587142949;1;4;FRA
écaillé;3,35;,812727701;1;7;FRA
écuelle;2,85;,489360485;1;4;FRA
entouré;3,4;,680557047;0;5;FRA
ici-bas;4,9;,307793506;0;2;FRA
idiotie;3,8;,410391341;0;2;FRA
mélangé;3,6;,820782682;1;7;FRA
météore;3,6;,598243042;0;4;FRA
missive;3,55;,686332741;0;6;FRA
pieuvre;3,8;,410391341;0;3;FRA
préface;3,3;,732695097;0;5;FRA
racisme;3,45;,759154655;1;6;FRA
révolté;3,5;,827170192;1;7;FRA
riposte;3,6;,50262469;0;3;FRA
viscère;2,95;,686332741;1;4;FRA
agencer;2,95;,223606798;0;3;FRA
arrimer;2,7;,571240571;1;5;FRA
brimade;3,4;,820782682;1;4;FRA
cailler;1,85;,489360485;2;6;FRA
chanvre;3,3;,571240571;0;5;FRA
coulant;2,45;,825577947;3;5;FRA
crucial;3,7;,470162346;0;4;FRA
écharde;3,25;,786397516;1;6;FRA
empirer;2,6;,753937035;3;5;FRA
fichier;2,95;,394034463;0;4;FRA
friable;3,15;,489360485;0;4;FRA
gâterie;3,6;,753937035;0;2;FRA
goéland;3,7;,470162346;0;3;FRA
insurgé;3,8;,410391341;0;5;FRA
kleenex;4,1;,307793506;0;2;FRA
montage;2,85;,366347549;0;6;FRA
morfler;2,65;,489360485;0;4;FRA
piocher;2,75;,444261658;0;3;FRA
planton;3,3;,571240571;0;6;FRA
prélude;3,65;,489360485;0;4;FRA
raboter;2,7;,571240571;1;3;FRA
rebours;3,5;,888523317;1;4;FRA
récrier;2,7;,470162346;0;4;FRA
rongeur;2,4;,753937035;3;4;FRA
terrier;2,75;,444261658;0;6;FRA
théière;3;,458831468;0;4;FRA
tic-tac;4,8;,523148364;0;3;FRA
torpédo;4,1;,718184846;0;5;FRA
torsade;3,15;,812727701;1;5;FRA
végéter;2,85;,366347549;0;6;FRA
affecté;3,9;,307793506;0;4;FRA
avenant;3,35;,587142949;0;4;FRA
caillot;2,65;,670820393;2;7;FRA
casaque;2,9;,307793506;0;4;FRA
clapier;2,75;,550119604;1;4;FRA
cocasse;3,45;,759154655;0;4;FRA
décence;2,8;,410391341;0;5;FRA
délayer;2,5;,512989176;0;5;FRA
dévasté;3,4;,598243042;0;5;FRA
entorse;3,4;,50262469;0;5;FRA
gourdin;3,05;,394034463;0;4;FRA
immigré;4,05;,394034463;0;4;FRA
imprimé;3,95;,510417786;0;5;FRA
mariner;2,75;,444261658;0;5;FRA
mézigue;3,55;,759154655;1;3;FRA
ondoyer;3,4;,680557047;0;4;FRA
pénurie;3,65;,489360485;0;4;FRA
poireau;2,9;,307793506;0;5;FRA
profane;3,4;,680557047;0;5;FRA
rampant;2,85;,366347549;0;4;FRA
récurer;2,5;,606976979;1;5;FRA
saignée;3,5;,688247202;0;6;FRA
sentant;2,6;,598243042;1;5;FRA
typique;3,05;,604805319;0;2;FRA
veuvage;3,55;,604805319;0;3;FRA
amocher;2,8;,410391341;0;4;FRA
amputer;2,65;,670820393;2;4;FRA
assiégé;3,9;,307793506;0;4;FRA
beignet;3,25;,716350399;0;3;FRA
cassant;2,85;,489360485;1;5;FRA
cerceau;2,75;,850696309;2;5;FRA
dentier;2,65;,670820393;1;5;FRA
en-tête;3,65;,670820393;0;3;FRA
enrôler;2,8;,410391341;0;4;FRA
gorille;2,55;,510417786;0;3;FRA
imputer;2,75;,550119604;1;4;FRA
nullité;3,6;,598243042;0;3;FRA
passeur;2,65;,670820393;2;5;FRA
pétoche;3;,458831468;0;4;FRA
saboter;2,55;,604805319;1;4;FRA
scooter;2,7;,571240571;1;3;FRA
soufflé;3,4;,753937035;1;7;FRA
zyeuter;2,9;,307793506;0;2;FRA
accoler;2,7;,571240571;1;4;FRA
audible;3,35;,489360485;0;3;FRA
baryton;3,85;,489360485;0;4;FRA
bastion;3;,458831468;0;4;FRA
bouffon;2,8;,615587011;0;6;FRA
chiquer;2,6;,598243042;1;4;FRA
chopine;3,45;,510417786;0;4;FRA
conquis;3,4;,680557047;0;4;FRA
démenti;3,3;,656946685;0;6;FRA
dentelé;3,6;,50262469;0;5;FRA
éberlué;3,95;,223606798;0;3;FRA
éboueur;2,9;,307793506;0;5;FRA
fondant;2,75;,444261658;0;3;FRA
léopard;3,9;,307793506;0;3;FRA
linceul;3,7;,470162346;0;3;FRA
méninge;3,3;,656946685;0;4;FRA
mordant;2,65;,489360485;0;4;FRA
moulure;2,8;,410391341;0;4;FRA
navrant;3,15;,587142949;0;4;FRA
négligé;3,8;,410391341;0;4;FRA
pitance;3,2;,695852374;0;3;FRA
plomber;2,9;,307793506;0;4;FRA
plumeau;3,15;,670820393;0;5;FRA
rombier;2,65;,489360485;0;4;FRA
aaltola;2,8;,410391341;0;3;FIN
aamulla;2,85;,366347549;0;5;FIN
aamusta;2,8;,410391341;0;5;FIN
afrikan;3,7;,571240571;0;2;FIN
aidosti;3,55;,510417786;0;3;FIN
aiemman;2,7;,656946685;2;7;FIN
aiemmat;3,3;,864504726;1;7;FIN
aiemmin;2,95;,686332741;1;6;FIN
aiempaa;3,3;,864504726;1;6;FIN
aiempia;3,4;,88257995;1;6;FIN
aiheena;3;,858395075;1;5;FIN
aiheina;2,8;,894427191;2;6;FIN
aiheita;2,3;,801314709;3;6;FIN
aihetta;2,4;,753937035;2;5;FIN
aiheuta;2,8;,894427191;1;5;FIN
aikamme;3,6;,680557047;0;5;FIN
aikansa;3,1;,552506251;0;5;FIN
aikoina;2,85;,489360485;0;5;FIN
aikojen;2,6;,680557047;2;5;FIN
aikovat;3,1;,640723276;0;5;FIN
ainakin;3,45;,686332741;0;4;FIN
aineita;2,35;,670820393;2;5;FIN
ainetta;2,5;,688247202;2;5;FIN
ainoana;3,45;,604805319;0;4;FIN
aiotaan;2,55;,510417786;0;3;FIN
aivojen;2,5;,688247202;2;3;FIN
ajamaan;2,7;,470162346;0;3;FIN
ajetaan;2,35;,587142949;1;3;FIN
ajoilta;2,9;,911909506;2;5;FIN
ajoissa;2,7;,571240571;1;6;FIN
ajoista;2,6;,680557047;2;6;FIN
akselin;3,7;,470162346;0;3;FIN
akuutti;3,55;,510417786;0;3;FIN
alainen;2,75;,444261658;0;4;FIN
alataan;2,5;,688247202;2;6;FIN
alatalo;3,55;,686332741;0;6;FIN
aleksis;3,75;,444261658;0;4;FIN
alennus;3,5;,827170192;1;5;FIN
alentaa;2,9;,718184846;1;5;FIN
aletaan;2,15;,587142949;2;4;FIN
alkaisi;3,45;,604805319;0;5;FIN
alkanut;3,1;,552506251;0;5;FIN
alkavan;2,8;,523148364;1;7;FIN
alkavat;2,65;,587142949;1;7;FIN
alkunsa;3,75;,550119604;0;4;FIN
aloilla;2,7;,656946685;2;7;FIN
aloille;2,85;,489360485;1;7;FIN
aloilta;2,55;,686332741;2;6;FIN
aloitin;2,85;,366347549;0;6;FIN
aloitti;2,8;,410391341;0;6;FIN
aloitus;3,1;,718184846;0;6;FIN
alueita;2,75;,550119604;1;5;FIN
aluetta;2,75;,550119604;1;5;FIN
aluksen;3,55;,510417786;0;4;FIN
ammatin;3,75;,550119604;0;6;FIN
ammatti;3,8;,523148364;0;6;FIN
aneista;2,8;,410391341;0;3;FIN
annamme;3,6;,680557047;0;4;FIN
annettu;3;,561951487;0;6;FIN
annetun;3,65;,812727701;1;7;FIN
annetut;3,65;,812727701;1;7;FIN
anniina;3,45;,510417786;0;5;FIN
annikki;3,4;,753937035;0;5;FIN
annosta;2,85;,366347549;0;4;FIN
annukka;3,65;,587142949;0;4;FIN
antaisi;3,3;,656946685;0;5;FIN
antamaa;2,85;,74515982;1;7;FIN
antaman;2,6;,680557047;1;7;FIN
antamat;2,65;,74515982;2;7;FIN
antanut;3,15;,812727701;0;5;FIN
antavat;2,5;,606976979;1;5;FIN
anttila;3,3;,571240571;0;4;FIN
apuraha;3,95;,223606798;0;2;FIN
arimpia;3,65;,587142949;0;3;FIN
arjessa;3,25;,716350399;1;6;FIN
arjesta;2,85;,489360485;1;6;FIN
arkisin;3,3;,732695097;0;6;FIN
arkisto;3,6;,598243042;0;6;FIN
armeija;3,6;,50262469;0;3;FIN
artturi;3,55;,686332741;0;3;FIN
arvelee;3,7;,571240571;0;4;FIN
arvojen;2,75;,550119604;1;5;FIN
arvokas;3,55;,510417786;0;5;FIN
arvolta;2,9;,447213595;1;5;FIN
arvomme;3,4;,50262469;0;5;FIN
arvosta;2,75;,550119604;1;5;FIN
aseiden;3,3;,732695097;1;4;FIN
asemaan;2,6;,598243042;1;4;FIN
asennus;3,4;,820782682;1;5;FIN
asentaa;2,9;,852241626;2;5;FIN
asettaa;2,55;,686332741;2;6;FIN
asettua;2,65;,670820393;2;7;FIN
asettuu;3,1;,718184846;1;7;FIN
asiakas;3,7;,470162346;0;5;FIN
asialla;2,6;,598243042;1;7;FIN
asialle;2,85;,489360485;1;7;FIN
asiansa;3,05;,825577947;1;5;FIN
asiassa;2,6;,680557047;2;6;FIN
asiasta;2,7;,571240571;1;6;FIN
asioida;3,6;,753937035;1;6;FIN
asioita;2,85;,489360485;1;6;FIN
astetta;2,65;,489360485;0;3;FIN
asumaan;2,85;,489360485;1;4;FIN
asuneet;2,95;,394034463;0;5;FIN
asunnon;3,35;,812727701;1;7;FIN
asunnot;3,4;,88257995;1;7;FIN
asuntoa;3,2;,695852374;0;5;FIN
asuvien;3,35;,670820393;0;4;FIN
aterian;2,9;,640723276;1;7;FIN
ateriat;3,35;,812727701;1;7;FIN
aulassa;2,5;,512989176;0;4;FIN
aulikki;3,6;,598243042;0;4;FIN
auraton;3,75;,444261658;0;4;FIN
aurinko;3,8;,410391341;0;4;FIN
autamme;3,45;,686332741;0;4;FIN
autojen;2,6;,50262469;0;5;FIN
autolla;2,7;,470162346;0;5;FIN
autossa;2,7;,571240571;1;6;FIN
autosta;2,65;,587142949;1;6;FIN
auvinen;2,75;,444261658;0;3;FIN
avaavat;2,95;,510417786;0;4;FIN
avaimet;3,4;,820782682;1;4;FIN
avannut;3,3;,571240571;0;4;FIN
avarrus;3,75;,444261658;0;4;FIN
avataan;2,55;,604805319;1;4;FIN
avautui;3,6;,753937035;1;7;FIN
avautuu;3,5;,76088591;1;7;FIN
avioero;4,6;,50262469;0;3;FIN
avoimen;2,8;,523148364;1;7;FIN
avoimet;3,3;,97872097;2;7;FIN
avoimia;2,9;,552506251;0;6;FIN
avoinna;3,3;,801314709;1;6;FIN
avointa;2,7;,571240571;1;6;FIN
avustaa;2,85;,366347549;0;6;FIN
avustus;3,45;,686332741;0;6;FIN
baltian;2,85;,366347549;0;2;FIN
belgian;3,85;,489360485;0;3;FIN
betonin;3,5;,606976979;0;3;FIN
bonusta;2,8;,410391341;0;2;FIN
brändin;3,85;,366347549;0;2;FIN
dollari;3,85;,366347549;0;1;FIN
edennyt;3,7;,656946685;0;4;FIN
edetään;3,2;,767771896;1;4;FIN
edistää;2,95;,223606798;0;3;FIN
eduista;2,95;,223606798;0;4;FIN
edustaa;2,8;,410391341;0;6;FIN
edustus;3,5;,688247202;0;6;FIN
egyptin;3,95;,223606798;0;2;FIN
ehditty;3,65;,587142949;0;4;FIN
ehdokas;3,75;,966545667;0;5;FIN
ehdolla;2,85;,489360485;1;7;FIN
ehdolle;3,15;,812727701;1;7;FIN
