word;OLD20_m;OLD20_sd;OS;OUP;Language
capable;3,1;,552506251;0;4;FRA
plonger;2,8;,410391341;0;6;FRA
branche;2,55;,686332741;2;5;FRA
machine;3,2;,410391341;0;4;FRA
conseil;3,25;,444261658;0;5;FRA
reposer;2,5;,512989176;0;4;FRA
réalité;3,45;,686332741;0;3;FRA
vacance;2,9;,307793506;0;5;FRA
inviter;2,75;,550119604;1;4;FRA
achever;3;,648885685;1;5;FRA
remplir;3,15;,489360485;0;5;FRA
briller;2,3;,732695097;2;4;FRA
obtenir;3,65;,670820393;0;3;FRA
peindre;2,35;1,089422831;3;5;FRA
arrivée;3,5;,688247202;0;6;FRA
courant;2,4;,753937035;2;6;FRA
anglais;3,9;,447213595;0;3;FRA
enlever;2,85;,366347549;0;4;FRA
mariage;2,75;,444261658;0;5;FRA
imposer;2,85;,670820393;0;4;FRA
hauteur;2,75;,444261658;0;5;FRA
prévoir;3,6;,598243042;0;4;FRA
croiser;2,6;,50262469;0;6;FRA
absence;3,05;,510417786;0;4;FRA
planter;2,5;,512989176;0;6;FRA
naturel;3,7;,571240571;0;3;FRA
médecin;3,95;,223606798;0;4;FRA
attirer;2,6;,598243042;1;5;FRA
lunette;2,65;,489360485;0;4;FRA
volonté;3,55;,686332741;0;4;FRA
terrain;3,3;,801314709;0;5;FRA
claquer;2,15;,670820393;3;4;FRA
château;3,05;,604805319;0;5;FRA
évoquer;2,45;,604805319;1;4;FRA
hausser;2,6;,598243042;1;4;FRA
presser;2,35;,670820393;1;5;FRA
courage;2,75;,444261658;0;6;FRA
effacer;2,8;,410391341;0;4;FRA
inutile;3,5;,606976979;0;3;FRA
douceur;2,5;,606976979;1;4;FRA
traiter;2,75;,444261658;0;4;FRA
confier;2,6;,598243042;1;6;FRA
fatigue;3,15;,670820393;1;7;FRA
horreur;2,7;,470162346;0;4;FRA
reculer;2,45;,604805319;1;5;FRA
admirer;2,8;,410391341;0;3;FRA
théâtre;3,75;,550119604;0;4;FRA
manteau;2,75;,550119604;1;4;FRA
chasser;2,45;,604805319;1;4;FRA
curieux;3,05;,686332741;1;3;FRA
horizon;3,7;,470162346;0;4;FRA
sérieux;3,35;,670820393;0;3;FRA
magasin;3,8;,410391341;0;4;FRA
contact;2,75;,444261658;0;5;FRA
nourrir;2,6;,598243042;1;4;FRA
creuser;2,65;,489360485;0;3;FRA
paysage;2,9;,718184846;1;3;FRA
attente;2,9;,640723276;0;6;FRA
flotter;2,65;,670820393;2;3;FRA
élément;3,35;,87509398;1;4;FRA
déposer;2,25;,444261658;0;5;FRA
société;3,9;,307793506;0;3;FRA
désirer;2,3;,571240571;1;5;FRA
excuser;2,6;,50262469;0;4;FRA
inconnu;3,85;,489360485;0;4;FRA
entendu;3,4;,753937035;0;6;FRA
maladie;2,85;,670820393;1;7;FRA
révéler;2,7;,470162346;0;4;FRA
émotion;3,45;,604805319;0;3;FRA
épouser;2,55;,510417786;0;4;FRA
ennuyer;2,75;,444261658;0;3;FRA
qualité;3,5;,76088591;0;4;FRA
matière;2,7;,571240571;1;5;FRA
univers;3,8;,410391341;0;4;FRA
dégager;2,55;,510417786;0;5;FRA
vitesse;3,15;,670820393;0;4;FRA
établir;3,55;,604805319;0;4;FRA
envahir;3,65;,489360485;0;4;FRA
figurer;2,75;,550119604;1;5;FRA
surface;3,75;,444261658;0;4;FRA
fournir;2,7;,571240571;1;7;FRA
costume;2,8;,523148364;1;5;FRA
colline;2,75;,444261658;0;6;FRA
essuyer;2,9;,718184846;1;4;FRA
hôpital;4,1;,640723276;0;3;FRA
sauvage;2,95;,223606798;0;5;FRA
lecture;2,8;,410391341;0;5;FRA
mériter;2,4;,680557047;2;3;FRA
plateau;3,05;,394034463;0;5;FRA
poisson;2,45;,686332741;1;4;FRA
cadavre;3,4;,50262469;0;4;FRA
million;3,4;,753937035;0;6;FRA
au-delà;4,9;,307793506;0;3;FRA
couteau;2,65;,489360485;0;5;FRA
crainte;3,2;,615587011;0;4;FRA
menacer;2,85;,366347549;0;4;FRA
prouver;2,75;,550119604;1;4;FRA
défense;2,85;,74515982;1;6;FRA
bizarre;3,8;,523148364;0;3;FRA
visiter;2,85;,366347549;0;5;FRA
bonjour;3,3;,732695097;0;4;FRA
réserve;3,6;,753937035;1;7;FRA
fortune;2,75;,550119604;1;7;FRA
violent;3,75;,444261658;0;5;FRA
ouvrier;2,75;,444261658;0;5;FRA
grimper;2,65;,489360485;0;5;FRA
suivant;3,35;,670820393;0;4;FRA
guetter;2,85;,366347549;0;4;FRA
mystère;3,3;,656946685;0;3;FRA
abattre;3,4;,753937035;1;4;FRA
dominer;2,65;,489360485;0;4;FRA
réduire;2,9;,911909506;1;4;FRA
article;3,1;,447213595;0;5;FRA
plafond;3,65;,587142949;0;4;FRA
frotter;2,6;,680557047;2;4;FRA
colonne;2,8;,695852374;1;6;FRA
adresse;2,95;,759154655;0;3;FRA
dossier;2,95;,223606798;0;3;FRA
libérer;2,85;,366347549;0;6;FRA
mission;2,8;,410391341;0;6;FRA
rejeter;2,75;,444261658;0;6;FRA
sourcil;3,2;,523148364;0;5;FRA
gonfler;2,75;,550119604;1;4;FRA
juillet;2,9;,307793506;0;3;FRA
mesurer;2,95;,223606798;0;4;FRA
colonel;3,3;,732695097;0;6;FRA
système;3,75;,550119604;0;3;FRA
origine;3,6;,598243042;0;4;FRA
grandir;3,15;,74515982;1;4;FRA
chanson;3;,458831468;0;5;FRA
inquiet;3,9;,307793506;0;3;FRA
cellule;3,5;,512989176;0;5;FRA
épreuve;3,75;,550119604;0;4;FRA
justice;3,7;,470162346;0;3;FRA
domaine;2,75;,444261658;0;4;FRA
victime;3,55;,510417786;0;4;FRA
poignée;3,3;,656946685;0;6;FRA
opposer;3,05;,887041208;1;3;FRA
artiste;2,85;,366347549;0;6;FRA
éternel;3,75;,444261658;0;4;FRA
cracher;2,65;,489360485;0;6;FRA
armoire;3,2;,615587011;0;3;FRA
extrême;3,85;,366347549;0;5;FRA
fragile;3,5;,512989176;0;4;FRA
atelier;2,95;,223606798;0;3;FRA
peintre;2,6;,598243042;1;5;FRA
portier;2,55;,604805319;1;6;FRA
enfiler;2,65;,489360485;0;4;FRA
dizaine;3,45;,686332741;0;3;FRA
opinion;3,85;,366347549;0;3;FRA
furieux;2,95;,686332741;1;3;FRA
exercer;2,95;,223606798;0;4;FRA
complet;2,65;,670820393;2;6;FRA
chagrin;3,55;,510417786;0;4;FRA
respect;3,6;,598243042;0;4;FRA
rivière;2,55;,686332741;2;3;FRA
automne;3,8;,410391341;0;5;FRA
faillir;2,35;,74515982;2;4;FRA
parfait;2,9;,552506251;0;5;FRA
blesser;2,5;,512989176;0;4;FRA
jaillir;2,45;,686332741;1;3;FRA
afin de;4;0;0;3;FRA
poignet;3,05;,686332741;0;6;FRA
soigner;2,5;,606976979;1;3;FRA
là-haut;4,7;,470162346;0;2;FRA
message;3,2;,767771896;1;4;FRA
coiffer;2,75;,444261658;0;4;FRA
millier;2,75;,444261658;0;6;FRA
miracle;3,5;,606976979;0;5;FRA
période;3,6;,50262469;0;4;FRA
carreau;2,55;,604805319;1;5;FRA
veiller;2,35;,587142949;1;6;FRA
planche;2,65;,587142949;1;5;FRA
baigner;2,5;,688247202;1;4;FRA
refaire;2,8;,615587011;1;4;FRA
secours;3,35;,933302004;1;6;FRA
rigueur;2,8;,615587011;1;4;FRA
décrire;2,8;,410391341;0;4;FRA
siffler;2,85;,489360485;1;7;FRA
demande;3,6;,50262469;0;4;FRA
accuser;2,6;,598243042;1;5;FRA
affreux;3,55;,510417786;0;5;FRA
emparer;2,6;,598243042;1;4;FRA
heurter;2,95;,223606798;0;5;FRA
caillou;2,8;,695852374;1;7;FRA
aveugle;3,9;,307793506;0;4;FRA
gratter;2,7;,470162346;0;5;FRA
pointer;2,75;,444261658;0;5;FRA
exposer;2,65;,489360485;0;4;FRA
avertir;3,3;,732695097;0;4;FRA
dévorer;2,25;,638666374;2;5;FRA
drapeau;3,55;,604805319;0;4;FRA
estimer;2,9;,307793506;0;4;FRA
tailler;2,1;,640723276;1;6;FRA
drifter;2,95;,223606798;0;3;FRA
balayer;2,75;,550119604;1;5;FRA
langage;3,1;,552506251;0;5;FRA
culotte;2,7;,571240571;1;4;FRA
ouvrage;3,4;,88257995;1;6;FRA
central;3,4;,598243042;0;5;FRA
craquer;2,15;,74515982;3;4;FRA
bouquet;2,85;,670820393;1;6;FRA
attaque;3,3;,732695097;0;5;FRA
délicat;3,9;,307793506;0;5;FRA
sentier;2,65;,670820393;1;5;FRA
cabinet;3,45;,686332741;0;4;FRA
reprise;3,4;,680557047;0;4;FRA
brûlant;3,2;,615587011;0;5;FRA
octobre;3,95;,223606798;0;3;FRA
chacune;3,55;,510417786;0;4;FRA
quelles;3,65;,489360485;0;5;FRA
fantôme;3,65;,489360485;0;4;FRA
velours;3,45;,825577947;0;6;FRA
nerveux;3,05;,686332741;0;5;FRA
italien;3,65;,489360485;0;2;FRA
soulier;2,4;,598243042;1;5;FRA
brusque;2,75;,550119604;1;4;FRA
apaiser;2,8;,410391341;0;3;FRA
moderne;3,25;,638666374;0;5;FRA
mou;4;0;0;4;FRA
formule;3,3;,571240571;0;4;FRA
placard;3,55;,686332741;0;5;FRA
bagnole;3,6;,753937035;1;4;FRA
cravate;3,25;,638666374;0;4;FRA
matinée;3,05;,510417786;0;6;FRA
méchant;3,4;,680557047;0;3;FRA
vitrine;3,45;,510417786;0;5;FRA
publier;2,8;,523148364;1;3;FRA
rigoler;2,8;,410391341;0;4;FRA
célèbre;3,5;,606976979;0;4;FRA
évident;3,6;,598243042;0;3;FRA
mouillé;2,95;,825577947;0;4;FRA
orgueil;3,9;,307793506;0;4;FRA
aborder;2,75;,550119604;1;4;FRA
replier;2,55;,510417786;0;4;FRA
chiffre;3,45;,686332741;0;6;FRA
épuiser;2,85;,366347549;0;3;FRA
bouffer;2,4;,680557047;2;6;FRA
caresse;2,7;,571240571;1;4;FRA
discret;3,65;,489360485;0;4;FRA
féminin;3,85;,366347549;0;3;FRA
dignité;3,85;,366347549;0;4;FRA
joindre;2,75;,910465468;1;3;FRA
défiler;2,2;,410391341;0;5;FRA
passant;2,7;,571240571;1;6;FRA
échange;3,05;,686332741;0;5;FRA
endormi;3,75;,444261658;0;4;FRA
défaire;2,6;,598243042;1;6;FRA
galerie;2,85;,366347549;0;5;FRA
tremper;2,75;,550119604;1;4;FRA
gardien;3,85;,366347549;0;4;FRA
liaison;3,7;,571240571;0;3;FRA
échelle;2,85;,587142949;1;6;FRA
modeste;3,1;,552506251;0;5;FRA
fatigué;3,8;,695852374;1;7;FRA
murmure;3,15;,489360485;0;4;FRA
grimace;3,35;,587142949;0;5;FRA
grogner;2,85;,366347549;0;4;FRA
tempête;3,85;,366347549;0;3;FRA
spécial;3,95;,394034463;0;3;FRA
repérer;2,6;,50262469;0;4;FRA
science;3,35;,670820393;0;3;FRA
mélange;3;,858395075;2;7;FRA
absurde;3,75;,444261658;0;4;FRA
estomac;4,4;,598243042;0;4;FRA
cerveau;2,7;,571240571;1;4;FRA
coincer;2,75;,444261658;0;4;FRA
janvier;2,95;,223606798;0;3;FRA
ricaner;3;0;0;3;FRA
visible;3,05;,887041208;1;5;FRA
baraque;2,7;,571240571;1;5;FRA
crisper;2,75;,550119604;1;5;FRA
étudier;3,15;,366347549;0;3;FRA
tablier;2,55;,686332741;2;5;FRA
émerger;3;,458831468;0;4;FRA
concert;2,65;,587142949;1;6;FRA
adopter;2,6;,598243042;1;6;FRA
envoler;2,7;,571240571;1;6;FRA
comédie;3,5;,512989176;0;4;FRA
progrès;3,95;,394034463;0;4;FRA
énergie;3,6;,598243042;0;5;FRA
dessous;3,85;,366347549;0;5;FRA
essence;3,25;,550119604;0;4;FRA
aimable;3,2;,615587011;0;3;FRA
sanglot;3,7;,571240571;0;6;FRA
monnaie;3,25;,638666374;0;4;FRA
aspirer;2,7;,470162346;0;4;FRA
élégant;3,75;,550119604;0;4;FRA
culture;2,85;,366347549;0;5;FRA
luisant;3,2;,615587011;0;3;FRA
réciter;2,15;,366347549;0;4;FRA
honnête;3,9;,307793506;0;5;FRA
réunion;3,95;,223606798;0;4;FRA
demeure;3,4;,50262469;0;4;FRA
paradis;3,3;,656946685;0;6;FRA
entamer;2,7;,470162346;0;4;FRA
bouquin;3,05;,686332741;1;6;FRA
plaquer;2,45;,604805319;1;4;FRA
remords;3,9;,307793506;0;4;FRA
bistrot;3,65;,489360485;0;4;FRA
stupide;3,7;,470162346;0;5;FRA
voyager;3,5;,606976979;0;3;FRA
environ;3,8;,410391341;0;4;FRA
légende;3,45;,510417786;0;3;FRA
pêcheur;3;,648885685;1;2;FRA
