model;cat;index;diff
FIN;4;14;3,64861833112426
FIN;4;15;3,37333181053254
FIN;4;16;3,56917900704142
FIN;4;17;3,60511658639053
FIN;4;18;3,63829047071006
FIN;4;19;3,52939596278107
FIN;4;20;3,49666301946746
FIN;4;21;3,48113116112426
FIN;4;22;3,52851045331361
FIN;4;23;3,30731921840237
FIN;5;1;3,01908222751479
FIN;5;2;1,43626589591716
FIN;5;3;2,0255895108284
FIN;5;4;2,88129633467456
FIN;5;5;1,27986154461538
FIN;5;6;1,46380553911243
FIN;5;7;2,40688670840237
FIN;5;8;3,01321522136095
FIN;5;9;2,61316680177515
FIN;5;10;2,65309976615385
FIN;5;11;2,71603770686391
FIN;5;12;2,57756733230769
FIN;5;13;2,8946720960355
FIN;5;14;2,97019674994083
FIN;5;15;2,41062536639053
FIN;5;16;2,71295936289941
FIN;5;17;2,76335988680473
FIN;5;18;2,86348028928994
FIN;5;19;2,86652246088757
FIN;5;20;2,60636591680473
FIN;5;21;2,76065142798817
FIN;5;22;2,84086308964497
FIN;5;23;2,32182117319527
FIN;6;1;2,92627008568047
FIN;6;2;1,37015114035503
FIN;6;3;1,99955355337278
FIN;6;4;2,79265558088757
FIN;6;5;1,46380553911243
FIN;6;6;1,11374313195266
FIN;6;7;2,35098675621302
FIN;6;8;2,9853806891716
FIN;6;9;2,58833358869822
FIN;6;10;2,66104710639053
FIN;6;11;2,73009844698225
FIN;6;12;2,58392208869823
FIN;6;13;2,85040296627219
FIN;6;14;2,89844796662722
FIN;6;15;2,34638628201183
FIN;6;16;2,71800539337278
FIN;6;17;2,79123705852071
FIN;6;18;2,82606467414201
FIN;6;19;2,77548538195266
FIN;6;20;2,58239526615385
FIN;6;21;2,63654953420118
FIN;6;22;2,73508852236686
FIN;6;23;2,20653411550296
FIN;7;1;3,44995580698225
FIN;7;2;2,36609614491124
FIN;7;3;2,77387319171598
FIN;7;4;3,3636984895858
FIN;7;5;2,40688670840237
FIN;7;6;2,35098675621302
FIN;7;7;2,54542688579882
FIN;7;8;3,45207720715976
FIN;7;9;3,13698928976331
FIN;7;10;3,20860016218935
FIN;7;11;3,22921675556213
FIN;7;12;3,12778158473373
FIN;7;13;3,30980846159763
FIN;7;14;3,42121837242604
FIN;7;15;2,92819049721894
FIN;7;16;3,23841870307692
FIN;7;17;3,27474993272189
FIN;7;18;3,3732283460355
FIN;7;19;3,29227161384615
FIN;7;20;3,11057974337278
FIN;7;21;3,22403921076923
FIN;7;22;3,28314274923077
FIN;7;23;2,8881786939645
FIN;8;1;3,73450811136095
FIN;8;2;3,05373046272189
FIN;8;3;3,34018760792899
FIN;8;4;3,67651898982249
FIN;8;5;3,01321522136095
FIN;8;6;2,9853806891716
FIN;8;7;3,45207720715976
FIN;8;8;3,35966371869822
FIN;8;9;3,59540088988166
FIN;8;10;3,65008718704142
FIN;8;11;3,67701029550296
FIN;8;12;3,58068010207101
FIN;8;13;3,73851693668639
FIN;8;14;3,67254232704142
FIN;8;15;3,50851051213018
FIN;8;16;3,67611097526627
FIN;8;17;3,69595161272189
FIN;8;18;3,71613476076923
FIN;8;19;3,62614648301775
FIN;8;20;3,64074105769231
FIN;8;21;3,58502098360947
FIN;8;22;3,62390415585799
FIN;8;23;3,36371372118343
FIN;9;1;3,61762334260355
FIN;9;2;2,56979266757396
FIN;9;3;3,01684392911243
FIN;9;4;3,52877234656805
FIN;9;5;2,61316680177515
FIN;9;6;2,58833358869822
FIN;9;7;3,13698928976331
FIN;9;8;3,59540088988166
FIN;9;9;2,69671219372781
FIN;9;10;3,29047369059172
FIN;9;11;3,34652266970414
FIN;9;12;3,25685430153846
FIN;9;13;3,4915051304142
FIN;9;14;3,56057261893491
FIN;9;15;3,19102482822485
FIN;9;16;3,38722006905325
FIN;9;17;3,41690346301775
FIN;9;18;3,43615936218935
FIN;9;19;3,50177540065089
FIN;9;20;3,27977563449704
FIN;9;21;3,38561500982249
FIN;9;22;3,46510906053254
FIN;9;23;3,10502643236686
FIN;10;1;3,65469491893491
FIN;10;2;2,66609386147929
FIN;10;3;3,03891866538462
FIN;10;4;3,56487884899408
FIN;10;5;2,65309976615385
FIN;10;6;2,66104710639053
FIN;10;7;3,20860016218935
FIN;10;8;3,65008718704142
FIN;10;9;3,29047369059172
FIN;10;10;2,91637473266272
FIN;10;11;3,41826775656805
FIN;10;12;3,26441188863905
FIN;10;13;3,51527966011834
FIN;10;14;3,55468233964497
FIN;10;15;3,22878100165681
FIN;10;16;3,4143588335503
FIN;10;17;3,46621041017752
FIN;10;18;3,49537323887574
FIN;10;19;3,53630794727811
FIN;10;20;3,28474028384615
FIN;10;21;3,46034615284024
FIN;10;22;3,50291254668639
FIN;10;23;3,22032998112426
FIN;11;1;3,63961247491124
FIN;11;2;2,66433250532544
FIN;11;3;3,09603814745562
FIN;11;4;3,57359634343195
FIN;11;5;2,71603770686391
FIN;11;6;2,73009844698225
FIN;11;7;3,22921675556213
FIN;11;8;3,67701029550296
FIN;11;9;3,34652266970414
FIN;11;10;3,41826775656805
FIN;11;11;2,97507203171598
FIN;11;12;3,3655568587574
FIN;11;13;3,5540873512426
FIN;11;14;3,62641365254438
FIN;11;15;3,23406605816568
FIN;11;16;3,47194048378698
FIN;11;17;3,46980360384615
FIN;11;18;3,52505437449704
FIN;11;19;3,55244371964497
FIN;11;20;3,36148967692308
FIN;11;21;3,45522759792899
FIN;11;22;3,51657179698225
